class,method,returnType,parameters
com.policynepal.autocare.user.model.User,createdDate,com.policynepal.autocare.user.model.User.Builder,java.util.Date
com.policynepal.autocare.user.model.User,modifiedDate,com.policynepal.autocare.user.model.User.Builder,java.util.Date
com.policynepal.autocare.user.model.User,build,com.policynepal.autocare.user.model.User,
com.policynepal.autocare.user.model.User.Builder,id,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,firstname,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,lastname,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,username,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,password,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,roles,com.policynepal.autocare.user.model.User.Builder,java.util.List<java.lang.String>
com.policynepal.autocare.user.model.User.Builder,address,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,email,com.policynepal.autocare.user.model.User.Builder,java.lang.String
com.policynepal.autocare.user.model.User.Builder,active,com.policynepal.autocare.user.model.User.Builder,java.lang.Boolean
com.policynepal.autocare.user.model.User.Builder,organization,com.policynepal.autocare.user.model.User.Builder,com.policynepal.autocare.user.model.Organization
com.policynepal.autocare.user.model.User.Builder,createdDate,com.policynepal.autocare.user.model.User.Builder,java.util.Date
com.policynepal.autocare.user.model.User.Builder,modifiedDate,com.policynepal.autocare.user.model.User.Builder,java.util.Date
com.policynepal.autocare.user.model.User.Builder,build,com.policynepal.autocare.user.model.User,
com.policynepal.autocare.user.repository.UserRepository,findByUsername,com.policynepal.autocare.user.model.User,java.lang.String
com.policynepal.autocare.user.repository.UserRepository,findByUsernameAndIdNot,com.policynepal.autocare.user.model.User,java.lang.String;java.lang.String
com.policynepal.autocare.user.service.UserService,findAll,java.util.List<com.policynepal.autocare.user.model.User>,
com.policynepal.autocare.user.service.UserService,addUser,com.policynepal.autocare.user.model.User,com.policynepal.autocare.user.dto.UserDto
com.policynepal.autocare.user.service.UserService,updateUser,com.policynepal.autocare.user.model.User,java.lang.String;com.policynepal.autocare.user.dto.UserDto
com.policynepal.autocare.user.service.UserService,validateIfUsernameExists,com.policynepal.autocare.user.model.User,java.lang.String
com.policynepal.autocare.user.service.UserService,validateIfUsernameExists,com.policynepal.autocare.user.model.User,java.lang.String;java.lang.String
com.policynepal.autocare.user.service.UserService,getUser,com.policynepal.autocare.user.model.User,java.lang.String
com.policynepal.autocare.user.service.UserService,findByUsername,com.policynepal.autocare.user.model.User,java.lang.String
com.policynepal.autocare.user.service.UserService,deleteUser,void,java.lang.String
com.policynepal.autocare.utils.AuthenticationUtils,getAuthenticatedUser,com.policynepal.autocare.user.model.User,
com.policynepal.autocare.utils.AuthenticationUtils,getUsername,java.lang.String,
com.policynepal.autocare.utils.AuthenticationUtils,getUserId,java.lang.String,
com.policynepal.autocare.utils.CustomBeanUtils,copyProperties,void,java.lang.Object;java.lang.Object
com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties,void,java.lang.Object;java.lang.Object
com.policynepal.autocare.utils.CustomBeanUtils,getNullPropertyNames,java.lang.String[],java.lang.Object
com.policynepal.autocare.utils.CustomBeanUtils,checkIfAllFieldsAreNull,boolean,java.lang.Object
com.policynepal.autocare.vehicle.controller.VehicleController,addVehicle,com.policynepal.autocare.vehicle.model.Vehicle,com.policynepal.autocare.vehicle.dto.VehicleDto
