caller,callee,method,params,returns
com.upachar.web.drug.service.DrugService,com.upachar.web.common.dto.PageDto,<init>,,com.upachar.web.common.dto.PageDto
com.upachar.web.drug.service.CategoryService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.repository.CategoryRepository,findByName,java.lang.String,com.upachar.web.drug.domain.Category
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.service.SubCategoryService,findByCategoryId,java.lang.Long,java.util.List<com.upachar.web.drug.domain.SubCategory>
com.upachar.web.drug.service.CategoryService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.domain.Category,<init>,,com.upachar.web.drug.domain.Category
com.upachar.web.drug.service.DosageFormService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.exceptionhandler.GlobalExceptionHandler,com.upachar.web.exceptionhandler.GlobalException,getMessage,,java.lang.String
com.upachar.web.data.service.DataService,com.upachar.web.drug.repository.CategoryRepository,findByName,java.lang.String,com.upachar.web.drug.domain.Category
com.upachar.web.data.service.DataService,com.upachar.web.drug.service.DosageFormService,findAll,,java.util.List<com.upachar.web.drug.domain.DosageForm>
