class,method,returnType,parameters
com.acmeair.entities.CustomerAddress,setCountry,void,java.lang.String
com.acmeair.entities.CustomerAddress,getPostalCode,java.lang.String,
com.acmeair.entities.CustomerAddress,setPostalCode,void,java.lang.String
com.acmeair.entities.CustomerSession,getId,java.lang.String,
com.acmeair.entities.CustomerSession,getCustomerid,java.lang.String,
com.acmeair.entities.CustomerSession,getLastAccessedTime,java.util.Date,
com.acmeair.entities.CustomerSession,getTimeoutTime,java.util.Date,
com.acmeair.entities.Flight,getFlightId,java.lang.String,
com.acmeair.entities.Flight,setFlightId,void,java.lang.String
com.acmeair.entities.Flight,getFlightSegmentId,java.lang.String,
com.acmeair.entities.Flight,getFlightSegment,com.acmeair.entities.FlightSegment,
com.acmeair.entities.Flight,setFlightSegment,void,com.acmeair.entities.FlightSegment
com.acmeair.entities.Flight,getScheduledDepartureTime,java.util.Date,
com.acmeair.entities.Flight,getScheduledArrivalTime,java.util.Date,
com.acmeair.entities.Flight,getFirstClassBaseCost,java.math.BigDecimal,
com.acmeair.entities.Flight,getEconomyClassBaseCost,java.math.BigDecimal,
com.acmeair.entities.Flight,getNumFirstClassSeats,int,
com.acmeair.entities.Flight,getNumEconomyClassSeats,int,
com.acmeair.entities.Flight,getAirplaneTypeId,java.lang.String,
com.acmeair.entities.FlightSegment,getFlightName,java.lang.String,
com.acmeair.entities.FlightSegment,getOriginPort,java.lang.String,
com.acmeair.entities.FlightSegment,getDestPort,java.lang.String,
com.acmeair.entities.FlightSegment,getMiles,int,
com.acmeair.loader.CustomerLoader,loadCustomers,void,long
com.acmeair.loader.FlightLoader,loadFlights,void,
com.acmeair.loader.FlightLoader,getArrivalTime,java.util.Date,java.util.Date;int
com.acmeair.loader.FlightLoader,alreadyInCollection,boolean,java.lang.String;java.util.ArrayList<com.acmeair.entities.AirportCodeMapping>
com.acmeair.loader.Loader,queryLoader,java.lang.String,
com.acmeair.loader.Loader,loadDB,java.lang.String,long
com.acmeair.loader.Loader,main,void,java.lang.String[]
com.acmeair.loader.Loader,execute,java.lang.String,
com.acmeair.loader.Loader,execute,java.lang.String,long
com.acmeair.loader.Loader,lookupDefaults,void,
com.acmeair.loader.Loader,getProperties,java.util.Properties,
com.acmeair.reporter.parser.component.JmeterJTLParser,setLogFileName,void,java.lang.String
com.acmeair.reporter.parser.component.JmeterJTLParser,processResultsDirectory,void,java.lang.String
com.acmeair.reporter.parser.component.JmeterJTLParser,parse,void,java.io.File
com.acmeair.reporter.parser.component.JmeterJTLParser,getResults,com.acmeair.reporter.parser.component.JtlTotals,
com.acmeair.reporter.parser.component.JmeterJTLParser,getResultsByUrl,java.util.Map<java.lang.String, com.acmeair.reporter.parser.component.JtlTotals>,
com.acmeair.reporter.parser.component.JmeterJTLParser,add,void,java.util.regex.Matcher;com.acmeair.reporter.parser.component.JtlTotals
com.acmeair.reporter.parser.component.JmeterSummariserParser,processFile,void,java.io.File
com.acmeair.reporter.parser.component.JmeterSummariserParser,getFileName,java.lang.String,
com.acmeair.reporter.parser.component.JmeterSummariserParser,setFileName,void,java.lang.String
com.acmeair.reporter.parser.component.JmeterSummariserParser,getTestDate,java.lang.String,
com.acmeair.reporter.parser.component.JmeterSummariserParser,processLine,void,com.acmeair.reporter.parser.IndividualChartResults;java.lang.String
com.acmeair.reporter.parser.component.JtlTotals,add,void,com.acmeair.reporter.parser.component.JtlTotals
com.acmeair.reporter.parser.component.JtlTotals,getFlightToCount,long,
com.acmeair.reporter.parser.component.JtlTotals,addTime,void,int
com.acmeair.reporter.parser.component.JtlTotals,getMillisMap,java.util.Map<java.lang.Integer, java.lang.Integer>,
com.acmeair.reporter.parser.component.JtlTotals,addReturnCode,void,java.lang.String
com.acmeair.reporter.parser.component.JtlTotals,setThreadMap,void,java.util.Map<java.lang.String, java.lang.Integer>
com.acmeair.reporter.parser.component.JtlTotals,addTimestamp,void,long
com.acmeair.reporter.parser.component.JtlTotals,incrementFailures,void,
com.acmeair.reporter.parser.component.JtlTotals,addToFlight,void,int
com.acmeair.reporter.parser.component.JtlTotals,addFlightRetCount,void,int
com.acmeair.reporter.parser.component.JtlTotals,incrementOneWayCount,void,
com.acmeair.reporter.parser.component.JtlTotals,incrementFiles,void,
